"pruid","prname","prnameFR","date","numconf","numprob","numdeaths","numtotal","numtested","numrecover"
1,"Canada","Canada","31-12-2019","0","0",0,"0","0","0"
1,"Canada","Canada","01-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","02-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","03-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","04-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","05-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","06-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","07-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","08-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","09-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","10-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","11-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","12-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","13-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","14-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","15-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","16-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","17-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","18-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","19-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","20-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","21-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","22-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","23-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","24-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","25-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","26-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","27-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","28-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","29-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","30-01-2020","0","0",0,"0","0","0"
1,"Canada","Canada","31-01-2020","4","0",0,"4","0","0"
1,"Canada","Canada","01-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","02-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","03-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","04-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","05-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","06-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","07-02-2020","4","0",0,"4","0","0"
1,"Canada","Canada","08-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","09-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","10-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","11-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","12-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","13-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","14-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","15-02-2020","7","0",0,"7","0","0"
1,"Canada","Canada","16-02-2020","8","0",0,"8","0","0"
1,"Canada","Canada","17-02-2020","8","0",0,"8","0","0"
1,"Canada","Canada","18-02-2020","8","0",0,"8","0","0"
1,"Canada","Canada","19-02-2020","8","0",0,"8","0","0"
1,"Canada","Canada","20-02-2020","8","0",0,"8","0","0"
1,"Canada","Canada","21-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","22-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","23-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","24-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","25-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","26-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","27-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","28-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","29-02-2020","9","0",0,"9","0","0"
1,"Canada","Canada","01-03-2020","9","0",0,"9","0","0"
